"Prihodi in prenoèitve turistov po: STATISTIÈNA REGIJA, SKUPINE"
"NASTANITVENIH OBJEKTOV, DRŽAVE, LETO , MERITVE"

" ";" ";" ";" ";"Prenoèitve turistov - SKUPAJ"
"Pomurska"
" ";"Hoteli in podobni nastanitveni objekti"
" ";" ";"DOMAÈI"
" ";" ";" ";"2010";z
" ";" ";" ";"2011";3300
" ";" ";" ";"2012";4564
" ";" ";" ";"2013";3701
" ";" ";" ";"2014";3557
" ";" ";" ";"2015";2598
" ";" ";"TUJI"
" ";" ";" ";"2008";52906
" ";" ";" ";"2009";36137
" ";" ";" ";"2010";z
" ";" ";" ";"2011";30515
" ";" ";" ";"2012";28885
" ";" ";" ";"2013";30171
" ";" ";" ";"2014";34044
" ";" ";" ";"2015";36545
" ";"Kampi"
" ";" ";"DOMAÈI"
" ";" ";" ";"2008";z
" ";" ";" ";"2009";z
" ";" ";" ";"2010";z
" ";" ";" ";"2011";z
" ";" ";" ";"2012";-
" ";" ";" ";"2013";z
" ";" ";" ";"2014";-
" ";" ";" ";"2015";-
" ";" ";"TUJI"
" ";" ";" ";"2008";z
" ";" ";" ";"2009";z
" ";" ";" ";"2010";-
" ";" ";" ";"2011";z
" ";" ";" ";"2012";-
" ";" ";" ";"2013";z
" ";" ";" ";"2014";-
" ";" ";" ";"2015";-
" ";"Ostali nastanitveni objekti"
" ";" ";"DOMAÈI"
" ";" ";" ";"2008";z
" ";" ";" ";"2009";z
" ";" ";" ";"2010";9419
" ";" ";" ";"2011";z
" ";" ";" ";"2012";8548
" ";" ";" ";"2013";z
" ";" ";" ";"2014";7051
" ";" ";" ";"2015";10526
" ";" ";"TUJI"
" ";" ";" ";"2008";z
" ";" ";" ";"2009";z
" ";" ";" ";"2010";17139
" ";" ";" ";"2011";z
" ";" ";" ";"2012";20405
" ";" ";" ";"2013";z
" ";" ";" ";"2014";28335
" ";" ";" ";"2015";36247
"Goriška"
" ";"Hoteli in podobni nastanitveni objekti"
" ";" ";"DOMAÈI"
" ";" ";" ";"2008";83322
" ";" ";" ";"2009";69942
" ";" ";" ";"2010";62707
" ";" ";" ";"2011";65879
" ";" ";" ";"2012";70554
" ";" ";" ";"2013";47652
" ";" ";" ";"2014";38705
" ";" ";" ";"2015";49518
" ";" ";"TUJI"
" ";" ";" ";"2008";240023
" ";" ";" ";"2009";213635
" ";" ";" ";"2010";213348
" ";" ";" ";"2011";228540
" ";" ";" ";"2012";220885
" ";" ";" ";"2013";226405
" ";" ";" ";"2014";229962
" ";" ";" ";"2015";249887
" ";"Kampi"
" ";" ";"DOMAÈI"
" ";" ";" ";"2008";30804
" ";" ";" ";"2009";37452
" ";" ";" ";"2010";33355
" ";" ";" ";"2011";39937
" ";" ";" ";"2012";42559
" ";" ";" ";"2013";40788
" ";" ";" ";"2014";23430
" ";" ";" ";"2015";35020
" ";" ";"TUJI"
" ";" ";" ";"2008";124313
" ";" ";" ";"2009";115290
" ";" ";" ";"2010";118665
" ";" ";" ";"2011";137064
" ";" ";" ";"2012";135775
" ";" ";" ";"2013";151662
" ";" ";" ";"2014";137030
" ";" ";" ";"2015";150697
" ";"Ostali nastanitveni objekti"
" ";" ";"DOMAÈI"
" ";" ";" ";"2008";56156
" ";" ";" ";"2009";64994
" ";" ";" ";"2010";62288
" ";" ";" ";"2011";68461
" ";" ";" ";"2012";66498
" ";" ";" ";"2013";62675
" ";" ";" ";"2014";59364
" ";" ";" ";"2015";70340
" ";" ";"TUJI"
" ";" ";" ";"2008";42063
" ";" ";" ";"2009";52804
" ";" ";" ";"2010";51669
" ";" ";" ";"2011";66667
" ";" ";" ";"2012";75364
" ";" ";" ";"2013";80027
" ";" ";" ";"2014";89256
" ";" ";" ";"2015";127827
"Obalno-kraška"
" ";"Hoteli in podobni nastanitveni objekti"
" ";" ";"DOMAÈI"
" ";" ";" ";"2008";605522
" ";" ";" ";"2009";666913
" ";" ";" ";"2010";595323
" ";" ";" ";"2011";598619
" ";" ";" ";"2012";541113
" ";" ";" ";"2013";546858
" ";" ";" ";"2014";549038
" ";" ";" ";"2015";562204
" ";" ";"TUJI"
" ";" ";" ";"2008";1010257
" ";" ";" ";"2009";923454
" ";" ";" ";"2010";890284
" ";" ";" ";"2011";992670
" ";" ";" ";"2012";975542
" ";" ";" ";"2013";976378
" ";" ";" ";"2014";992587
" ";" ";" ";"2015";1021161
" ";"Kampi"
" ";" ";"DOMAÈI"
" ";" ";" ";"2008";148009
" ";" ";" ";"2009";152495
" ";" ";" ";"2010";124658
" ";" ";" ";"2011";135198
" ";" ";" ";"2012";134923
" ";" ";" ";"2013";114747
" ";" ";" ";"2014";104922
" ";" ";" ";"2015";137117
" ";" ";"TUJI"
" ";" ";" ";"2008";77624
" ";" ";" ";"2009";68533
" ";" ";" ";"2010";65985
" ";" ";" ";"2011";77746
" ";" ";" ";"2012";82831
" ";" ";" ";"2013";81216
" ";" ";" ";"2014";94340
" ";" ";" ";"2015";95161
" ";"Ostali nastanitveni objekti"
" ";" ";"DOMAÈI"
" ";" ";" ";"2008";301223
" ";" ";" ";"2009";305153
